URL,Name,Rating,Rating Count,Detailed Ratings,Price Category,Address,latitude,longitude,ZipCode,BoroName
https://www.google.com/maps/place/Chelsea+Ristorante+Italiano/data=!4m7!3m6!1s0x89c259be89720bdd:0x85c0ed39433e07b3!8m2!3d40.7406515!4d-74.0015913!16s%2Fg%2F1w347jhx!19sChIJ3Qtyib5ZwokRswc-QzntwIU?authuser=0&hl=ka&rclk=1,Chelsea Ristorante Italiano,4.2,518.0,"{'Rating 5 ': 275.0, 'Rating 4 ': 135.0, 'Rating 3 ': 63.0, 'Rating 2 ': 19.0, 'Rating 1 ': 26.0}",2.0,"108 8th Ave, New York, NY 10011",40.7406515,-74.0015913,10011,Manhattan
https://www.google.com/maps/place/El+Nuevo+Caribe+Restaurant/data=!4m7!3m6!1s0x89c25d9b33565fe7:0xd48253788c35421!8m2!3d40.6978979!4d-73.9251819!16s%2Fg%2F11s44vhqgc!19sChIJ519WM5tdwokRIVTDiDclSA0?authuser=0&hl=ka&rclk=1,El Nuevo Caribe Restaurant,5.0,1.0,"{'Rating 5 ': 1.0, 'Rating 4 ': 0.0, 'Rating 3 ': 0.0, 'Rating 2 ': 0.0, 'Rating 1 ': 0.0}",,"214 Central Ave, Brooklyn, NY 11221",40.6978979,-73.9251819,11221,Brooklyn
https://www.google.com/maps/place/Yummy/data=!4m7!3m6!1s0x89c25b48ed7eb685:0x802b6846991e73f8!8m2!3d40.6410403!4d-73.9558954!16s%2Fg%2F1trvmbwn!19sChIJhbZ-7UhbwokR-HMemUZoK4A?authuser=0&hl=ka&rclk=1,Yummy,3.9,120.0,"{'Rating 5 ': 59.0, 'Rating 4 ': 32.0, 'Rating 3 ': 5.0, 'Rating 2 ': 8.0, 'Rating 1 ': 16.0}",,"1195 Flatbush Ave, Brooklyn, NY 11226",40.6410403,-73.9558954,11226,Brooklyn
https://www.google.com/maps/place/Astro/data=!4m7!3m6!1s0x89c258f9eb6aca4d:0x99f8605a62da51e2!8m2!3d40.7632731!4d-73.9783196!16s%2Fg%2F1tflnbsj!19sChIJTcpq6_lYwokR4lHaYlpg-Jk?authuser=0&hl=ka&rclk=1,Astro,4.1,1252.0,"{'Rating 5 ': 613.0, 'Rating 4 ': 343.0, 'Rating 3 ': 133.0, 'Rating 2 ': 81.0, 'Rating 1 ': 82.0}",2.0,"1361 6th Ave, New York, NY 10019",40.7632731,-73.9783196,10019,Manhattan
https://www.google.com/maps/place/Darna+Falafel/data=!4m7!3m6!1s0x89c25a5004ab22ef:0x9b6d024505efda01!8m2!3d40.6870485!4d-73.9937984!16s%2Fg%2F1263lyvjd!19sChIJ7yKrBFBawokRAdrvBUUCbZs?authuser=0&hl=ka&rclk=1,Darna Falafel,4.7,365.0,"{'Rating 5 ': 287.0, 'Rating 4 ': 51.0, 'Rating 3 ': 14.0, 'Rating 2 ': 7.0, 'Rating 1 ': 6.0}",1.0,"200 Court St, Brooklyn, NY 11201",40.6870485,-73.9937984,11201,Brooklyn
https://www.google.com/maps/place/Royal+Restaurant+%26+Grill/data=!4m7!3m6!1s0x89c25dd412ee7749:0xf0f29c6b65f8e593!8m2!3d40.6784313!4d-73.8696215!16s%2Fg%2F11j8kdjznd!19sChIJSXfuEtRdwokRk-X4ZWuc8vA?authuser=0&hl=ka&rclk=1,Royal Restaurant & Grill,3.8,46.0,"{'Rating 5 ': 30.0, 'Rating 4 ': 2.0, 'Rating 3 ': 1.0, 'Rating 2 ': 1.0, 'Rating 1 ': 12.0}",1.0,"1075 Liberty Ave, Brooklyn, NY 11208",40.6784313,-73.8696215,11208,Brooklyn
https://www.google.com/maps/place/Wall+Street+Grill/data=!4m7!3m6!1s0x89c25a166b5a4727:0xbff33603d485f01b!8m2!3d40.7049382!4d-74.0085917!16s%2Fg%2F11c46h1l7y!19sChIJJ0daaxZawokRG_CF1AM2878?authuser=0&hl=ka&rclk=1,Wall Street Grill,4.6,1028.0,"{'Rating 5 ': 826.0, 'Rating 4 ': 98.0, 'Rating 3 ': 35.0, 'Rating 2 ': 28.0, 'Rating 1 ': 41.0}",3.0,"128 Pearl St, New York, NY 10005",40.7049382,-74.0085917,10005,Manhattan
https://www.google.com/maps/place/Honey+Badger+%7C+Fine+Dining+Restaurant/data=!4m7!3m6!1s0x89c25b13513a083f:0x9fa42ed21d418cfd!8m2!3d40.6582688!4d-73.9599751!16s%2Fg%2F11g69gggg0!19sChIJPwg6URNbwokR_YxBHdIupJ8?authuser=0&hl=ka&rclk=1,Honey Badger | Fine Dining Restaurant,4.5,168.0,"{'Rating 5 ': 139.0, 'Rating 4 ': 10.0, 'Rating 3 ': 3.0, 'Rating 2 ': 3.0, 'Rating 1 ': 13.0}",,"67 Fenimore St, Brooklyn, NY 11225",40.6582688,-73.9599751,11225,Brooklyn
https://www.google.com/maps/place/Cheng%27s+Restaurant/data=!4m7!3m6!1s0x89c24db2384df28d:0xcf2a2945c4b23409!8m2!3d40.6256389!4d-74.1558974!16s%2Fg%2F1tg6r0c8!19sChIJjfJNOLJNwokRCTSyxEUpKs8?authuser=0&hl=ka&rclk=1,Cheng's Restaurant,3.7,115.0,"{'Rating 5 ': 59.0, 'Rating 4 ': 18.0, 'Rating 3 ': 9.0, 'Rating 2 ': 3.0, 'Rating 1 ': 26.0}",,"2040 Forest Ave, Staten Island, NY 10303",40.6256389,-74.1558974,10303,Staten Island
"https://www.google.com/maps/place/Breakfast,+Lunch+%26+Brunch+Restaurant+of+Park+Slope/data=!4m7!3m6!1s0x89c25b5a8258c451:0x2f8210db9ed73e51!8m2!3d40.6669558!4d-73.9918603!16s%2Fg%2F11sv1q20yd!19sChIJUcRYglpbwokRUT7XntsQgi8?authuser=0&hl=ka&rclk=1","Breakfast, Lunch & Brunch Restaurant of Park Slope",5.0,5.0,"{'Rating 5 ': 5.0, 'Rating 4 ': 0.0, 'Rating 3 ': 0.0, 'Rating 2 ': 0.0, 'Rating 1 ': 0.0}",,"Store Front, 548 4th Ave, Brooklyn, NY 11215",40.6669558,-73.9918603,11215,Brooklyn
